S0102	S0104	S0105	S0106	S0107	S0108	S0111	S0112	S0113	S0115	S0116	S0117	S1504	S1505	S1506	S1511	S1512	S1513	S2904	S2905	S2906	S2911	S2912	S2913	S4304	S4305	S4306	S4311	S4312	S4313
CD8+ naive T-cells	0	0	0.00857945701729532	1.79566174359076e-19	0	8.12071604260479e-20	0	0.00890562692543148	0.00215055609148933	0.000984563330000219	7.06469694003444e-20	0	0	0.000818600775686816	1.0396467654509e-18	0.0176022598875406	2.76544010428334e-18	0	0	0.00563712264857561	1.29510448135792e-19	0.00257172570596559	0	0.0038293102184026	0	1.51176029363905e-18	9.02846708239177e-19	0.00392747797688326	0.00521931287424959	0.00152646454970337
CD8+ T-cells	0	3.83636506755915e-18	0.00202575958825611	4.4366748870003e-21	0.0127071848263467	1.73519602217381e-18	6.23402884460236e-19	3.01905496461791e-19	0	0	0	6.02778992338697e-20	8.4427222538223e-18	0.00963099630812692	7.90517234494917e-18	0.00296670277049531	2.09548041346342e-18	7.12338054074011e-18	0.00639655170003937	7.75090882261276e-21	0.000112426163094616	0.00075469681358316	0	0.0162998685595716	5.98891194896842e-18	1.30808767733194e-18	0	8.73391256097121e-19	0	6.7436546574499e-19
CD8+ Tcm	0.0172676949024671	6.38530967912245e-19	0.0215816448431197	0.0103613692529357	0.0208210834497046	2.43299602726816e-19	5.30481937691705e-18	0.0143361591403119	0.0029237589979701	0.00275581105768365	0	6.21398553700173e-19	5.87833786201976e-19	4.06435663334048e-18	2.74570496033888e-18	0.0155777321855795	3.10545182122773e-18	0	0	0.0140025956208222	0.0171057216690128	0.00736747487481594	8.91854940222383e-18	0.0159381354859574	0	1.22721265480104e-17	1.7941501210202e-18	1.17821221684242e-18	0.00986940872751451	4.6554207429456e-18
CD8+ Tem	7.21496369429382e-18	0	1.07718212418289e-18	2.59902188725987e-20	2.12027036385317e-19	0	0	1.19792010170888e-18	0	0	0	4.91962586481377e-18	0	8.55740007177573e-19	2.45238335581627e-18	0	1.07673914030681e-17	6.52879642823942e-19	0.0144651527327649	1.44575286694262e-19	7.99267900714698e-19	1.67226655527338e-19	1.34443388954985e-17	8.66869434241034e-19	1.19730747049478e-18	0	0	0	3.18261240839079e-18	0
cDC	0.0117553612474834	0.0155374881750251	0.00121348114624054	0.0103816670852369	0.0384498667266895	0.00380308299636769	0.0247571484077715	0.00568074683674233	0.035609130821365	0.00805422272750239	0.00178556047730507	0.0176866173530824	0.0342017798562557	0.0399021862754428	2.86419568381985e-20	0.00377834474569739	0.00581357086507809	0.0445388424987873	0.0585084919055893	0.0270022019929495	0	0.00945437076507994	0.026001297189009	0.00473042210412949	0.00670993942548106	0.00757649322987407	0.0327557380917827	0.0332460897723615	8.78534033686826e-05	0.0387313188402737
Chondrocytes	1.34147859595089e-17	0	7.93696075834868e-19	4.13961092655439e-18	0	1.34705826876821e-18	0	9.04994928441765e-18	0	4.96613642074366e-18	2.67793968228768e-18	1.49743938920582e-18	1.31313973330525e-18	0	0.0073500014958619	6.83809651849792e-20	2.10122591073462e-17	1.45599210786803e-18	0	0	0	0	0	0	3.01154079180086e-18	0	2.41297653892121e-18	0	6.45537820421655e-18	7.58027890154103e-19
Class-switched memory B-cells	0.038459645313658	0.0602684728300635	0.0205337714648954	5.97103703569162e-19	0.024122008641276	0.0366696631573832	0.00782391985868708	0.00538453162285086	0.00441846098938511	0.0023661065429705	5.69735803034837e-20	0.063404522639825	0.0570087456093425	0.0567199355729594	0.0305007690220515	0.00659078293766161	0.00928830827712857	0.0551786590918794	0.0843684045523842	0.0632998666110504	0.005182166305759	6.89730052140878e-19	0.0114806582732002	0.00607638453334167	0.0563453051191742	0.027117858524939	0.0160505163700783	0.0154791774079272	0	0.0921733725418943
CLP	0.0203562552527359	0.0144842033396292	0.0306811324565849	0.0460420698810353	0.0252309360700637	3.73768077938794e-19	0.0419200983288478	0.00999305947668599	0.0417535634570364	0.0164974542200467	0	0	0	1.74976407213851e-20	0.00357229959338664	0.0500486051154116	0.0234920406336262	0.0152465941826206	0	0	0	0.0192051459856878	0.00619883749973975	0.0465180422397392	0.0029017936811551	5.32478876676638e-22	0	0	0.0250354325558329	2.29940773783775e-19
CMP	0.0173293572568279	0.0137975554540768	0	3.24422740479116e-18	0.010946423886237	0.0115555775885313	9.97767223838873e-19	0	0	0	0.011557646263962	0.00392083119175855	0.0120804416335093	0.0407400447349917	0	1.47944607915661e-18	0	0.0114462714532876	0.000724229746732119	4.16944754888286e-19	0	0	0	0	0	0	0.00878146460487363	0.00497938187422164	0	0.0234654865344444
DC	5.41409358598263e-21	0.000686476748169244	6.79173895572444e-20	8.76463162455935e-19	0.000854329635168443	0.00733761969870286	0	5.22534274347157e-19	0	0.0033761393468959	5.87941323217245e-20	2.4885364962134e-19	0.00037675761904934	0.0026343816723989	0	0	1.9615992069347e-18	0.00813432049040118	0.00692008626399994	0.00144514599084267	0	0	0.00139530972780327	6.51382848659715e-20	0.00281676227589396	0	0.019434682027506	3.11478426882578e-19	0	0
Endothelial cells	0.0178953401060001	0.018036231899386	0.00134038045740121	0	0.0311022643613393	0.0390920606094706	0.0248825394565015	0.000304157402535645	2.18147556674435e-05	0.0027037954013366	0.0204877290660439	0.0218020179123914	0.0249260214573298	0.0280414594770053	0.0290864783790623	0.00684603137005697	0.00661640156711798	0.0110862534978613	0.0224793310217372	0.00484912169264262	0.002524264233514	0	0.0036178025151634	3.54504363411687e-19	0.0422354715847308	0.00378796778590883	0.0107541984185357	0.00381100595416546	1.38111918969354e-19	0.0454063051871933
Eosinophils	0.0429407677541773	0.0191632402720112	0	6.88408158395143e-20	0.0714978153852098	0.115880943167804	0.0164288567873723	0.00254922530540667	0.00110987253079134	0.0320732836187908	0.0236980768094994	0.00868454825348522	0.016477386329788	0.0697624492797523	1.40897457682053e-18	0.000320089836630068	0	0.0812814819960457	0.0543412260351492	0.0208298852292263	3.17642982539603e-19	0.000126581496867694	0.00261270373915807	3.25375934681384e-19	0.0222322751448151	0.00383709064787506	0.0271248346970469	0.0228265009779557	0	0.0388794373189112
